Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation
Lindeman et al CBiology	10.1016/j.cub.2015.01.034	Robin E. Lindeman, Micah D. Gearhart, Anna Minkina, Anthony D. Krentz, Vivian J. Bardwell, David Zarkower	Current Biology	Sexual Cell-Fate Reprogramming in the Ovary by DMRT1	20150212.0	-	68	Mouse	Ovary	SMARTer (C1)	GSE64960		RNA-seq	Granulosa cells										IFC Capture
Zeisel et al	10.1126/science.aaa1934	A. Zeisel, A. B. Munoz-Manchado, S. Codeluppi, P. Lonnerberg, G. La Manno, A. Jureus, S. Marques, H. Munguba, L. He, C. Betsholtz, C. Rolny, G. Castelo-Branco, J. Hjerling-Leffler, S. Linnarsson	Science	Cell types in the mouse cortex and hippocampus revealed by single-cell RNA-seq	20150221.0	-	3,005	Mouse	Brain	STRT-Seq (C1)	GSE60361		RNA-seq	Somatosensory cortex, hippocampus CA1		Adult	47.0	Yes	No		Yes	Yes		IFC Capture
Nakamura et al NAR	10.1093/nar/gkv134	Tomonori Nakamura, Yukihiro Yabuta, Ikuhiro Okamoto, Shinya Aramaki, Shihori Yokobayashi, Kazuki Kurimoto, Kiyotoshi Sekiguchi, Masato Nakagawa, Takuya Yamamoto, Mitinori Saitou	Nucleic Acids Research	SC3-seq: a method for highly parallel and quantitative measurement of single-cell gene expression	20150227.0	-	98	Human, Mouse		SC3-seq	GSE63266		RNA-seq	Blastocyst cells, hiPSCs										
Padovan-Merhar et al MCell	10.1016/j.molcel.2015.03.005	Olivia Padovan-Merhar, Gautham P. Nair, Andrew G. Biaesch, Andreas Mayer, Steven Scarfone, Shawn W. Foley, Angela R. Wu, L. Stirling Churchman, Abhyudai Singh, Arjun Raj	Molecular Cell	Single Mammalian Cells Compensate for Differences in Cellular Volume and DNA Copy Number through Independent Global Transcriptional Mechanisms	20150411.0	-	98	Human	Culture	SMARTer (C1)	GSE66053		RNA-seq											
Achim et al NBT	10.1038/nbt.3209	Kaia Achim, Jean-Baptiste Pettit, Luis R Saraiva, Daria Gavriouchkina, Tomas Larsson, Detlev Arendt, John C Marioni	Nat Biotechnol	High-throughput spatial mapping of single-cell RNA-seq data to tissue of origin	20150413.0	-	213	Platynereis dumerilii		SMARTer (C1)	E-MTAB-2865		RNA-seq											
Satija et al NBT	10.1038/nbt.3192	Rahul Satija, Jeffrey A Farrell, David Gennert, Alexander F Schier, Aviv Regev	Nat Biotechnol	Spatial reconstruction of single-cell gene expression data	20150413.0	-	851	Zebrafish	Embryo	STRT-Seq	GSE66688		RNA-seq											
Darmanis et al PNAS	10.1073/pnas.1507125112	Spyros Darmanis, Steven A. Sloan, Ye Zhang, Martin Enge, Christine Caneda, Lawrence M. Shuer, Melanie G. Hayden Gephart, Ben A. Barres, Stephen R. Quake	Proc Natl Acad Sci USA	A survey of human brain transcriptome diversity at the single cell level	20150519.0	-	466	Human	Brain	SMARTer (C1)	GSE67835		RNA-seq	Cerebral cortex		Adult and fetus	10.0	Yes	No		Yes	No		IFC Capture
Klein et al Cell	10.1016/j.cell.2015.04.044	Allon M. Klein, Linas Mazutis, Ilke Akartuna, Naren Tallapragada, Adrian Veres, Victor Li, Leonid Peshkin, David A. Weitz, Marc W. Kirschner	Cell	Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells	20150521.0	-	9,000	Human, Mouse	Culture	InDrops	GSE65525		RNA-seq	mESCs, K562 cells										Nanodroplet dilution
Macosco et al Cell	10.1016/j.cell.2015.05.002	Evan Z. Macosko, Anindita Basu, Rahul Satija, James Nemesh, Karthik Shekhar, Melissa Goldman, Itay Tirosh, Allison R. Bialas, Nolan Kamitaki, Emily M. Martersteck, John J. Trombetta, David A. Weitz, Joshua R. Sanes, Alex K. Shalek, Aviv Regev, Steven A. McCarroll	Cell	Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets	20150521.0	-	44,808	Human, Mouse	Eye	Drop-seq	GSE63473		RNA-seq	Retina			39.0	Yes	No	No	Yes	Yes		Nanodroplet dilution
Wilson et al CSC	10.1016/j.stem.2015.04.004	Nicola K. Wilson, David G. Kent, Florian Buettner, Mona Shehata, Iain C. Macaulay, Fernando J. Calero-Nieto, Manuel Sánchez Castillo, Caroline A. Oedekoven, Evangelia Diamanti, Reiner Schulte, Chris P. Ponting, Thierry Voet, Carlos Caldas, John Stingl, Anthony R. Green, Fabian J. Theis, Berthold Göttgens	Cell Stem Cell	Combined Single-Cell Functional and Gene Expression Analysis Resolves Heterogeneity within Stem Cell Populations	20150521.0	-	92	Mouse	Bone marrow	Smart-seq2	GSE61533		RNA-seq	HSC										
Velten et al MSB	10.15252/msb.20156198	L. Velten, S. Anders, A. Pekowska, A. I. Jarvelin, W. Huber, V. Pelechano, L. M. Steinmetz	Molecular Systems Biology	Single-cell polyadenylation site mapping reveals 3' isoform choice variability	20150604.0	-	195	Mouse	Culture	BAT-Seq	GSE60768		RNA-seq	mESCs										
